,contract_id,firm_contract_type,short_name,long_name,holiday_calendar_id,delivery_code,trading_code,exchange_id,type,trading_months,spot_trading_months,notional_maturity_start,notional_maturity_end,notional_coupon,contract_size,currency,quote_type,price_dec_places,price_tick_size,units_in_quote,tick_value,back_office_code,last_trading_date_rule,expiry_date_rule,root_ric_symbol,min_fluctuation,notional_maturity_units,max_contracts,default_executing_broker,default_clearing_broker,underlying_instr,underlying_instr_string,future_code,domicile,underlying_ric,contract_type,mds_date,active,version_number,version_user_id,version_date,default_executing_ny,default_clearing_ny,default_executing_tk,default_clearing_tk,default_executing_hk,default_clearing_hk,min_ctd_bonds,max_ctd_bonds,duration,coupon_freq,price_for_tick,margined,settlement_type,expiry_time,contract_multiplier,cash_in_lieu,related_contfuture_code,fut_expiry_year,strike_divisor,root_ric_override
37,Va,933,Va,Va,Va,Va,Va,Va,Va,Va,933,Va,Va,Va,523.7632275636229,Va,Va,933,Va,Va,Va,Va,Va,Va,Va,523.7632275636229,933,933,Va,Va,933,Va,Va,Va,Va,Va,2021-08-16,Va,933,Va,2021-08-16,Va,Va,Va,Va,Va,Va,933,933,Va,933,Va,Va,Va,Va,Va,Va,Va,933,933,Va
38,S,851,S,S,S,S,S,S,S,S,851,S,S,S,626.937018189414,S,S,851,S,S,S,S,S,S,S,626.937018189414,851,851,S,S,851,S,S,S,S,S,2015-10-06,S,851,S,2015-10-06,S,S,S,S,S,S,851,851,S,851,S,S,S,S,S,S,S,851,851,S
39,aNd6,546,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,546,aNd6,aNd6,aNd6,344.52509862831715,aNd6,aNd6,546,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,344.52509862831715,546,546,aNd6,aNd6,546,aNd6,aNd6,aNd6,aNd6,aNd6,2017-05-19,aNd6,546,aNd6,2017-05-19,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,546,546,aNd6,546,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,aNd6,546,546,aNd6
40,fBz,960,fBz,fBz,fBz,fBz,fBz,fBz,fBz,fBz,960,fBz,fBz,fBz,35.67623570787981,fBz,fBz,960,fBz,fBz,fBz,fBz,fBz,fBz,fBz,35.67623570787981,960,960,fBz,fBz,960,fBz,fBz,fBz,fBz,fBz,2016-05-26,fBz,960,fBz,2016-05-26,fBz,fBz,fBz,fBz,fBz,fBz,960,960,fBz,960,fBz,fBz,fBz,fBz,fBz,fBz,fBz,960,960,fBz
41,8ACs80ZFH,690,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,690,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,116.29897792004917,8ACs80ZFH,8ACs80ZFH,690,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,116.29897792004917,690,690,8ACs80ZFH,8ACs80ZFH,690,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,2021-10-24,8ACs80ZFH,690,8ACs80ZFH,2021-10-24,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,690,690,8ACs80ZFH,690,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,8ACs80ZFH,690,690,8ACs80ZFH
42,Kl4tzFd,455,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,455,Kl4tzFd,Kl4tzFd,Kl4tzFd,368.8008787493018,Kl4tzFd,Kl4tzFd,455,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,368.8008787493018,455,455,Kl4tzFd,Kl4tzFd,455,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,2017-03-19,Kl4tzFd,455,Kl4tzFd,2017-03-19,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,455,455,Kl4tzFd,455,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,Kl4tzFd,455,455,Kl4tzFd
43,l5,296,l5,l5,l5,l5,l5,l5,l5,l5,296,l5,l5,l5,16.048319819281787,l5,l5,296,l5,l5,l5,l5,l5,l5,l5,16.048319819281787,296,296,l5,l5,296,l5,l5,l5,l5,l5,2016-08-04,l5,296,l5,2016-08-04,l5,l5,l5,l5,l5,l5,296,296,l5,296,l5,l5,l5,l5,l5,l5,l5,296,296,l5
44,J,892,J,J,J,J,J,J,J,J,892,J,J,J,918.9405863407749,J,J,892,J,J,J,J,J,J,J,918.9405863407749,892,892,J,J,892,J,J,J,J,J,2021-04-18,J,892,J,2021-04-18,J,J,J,J,J,J,892,892,J,892,J,J,J,J,J,J,J,892,892,J
45,7,177,7,7,7,7,7,7,7,7,177,7,7,7,379.77994673409364,7,7,177,7,7,7,7,7,7,7,379.77994673409364,177,177,7,7,177,7,7,7,7,7,2015-12-14,7,177,7,2015-12-14,7,7,7,7,7,7,177,177,7,177,7,7,7,7,7,7,7,177,177,7
46,GCad,773,GCad,GCad,GCad,GCad,GCad,GCad,GCad,GCad,773,GCad,GCad,GCad,530.7210446633766,GCad,GCad,773,GCad,GCad,GCad,GCad,GCad,GCad,GCad,530.7210446633766,773,773,GCad,GCad,773,GCad,GCad,GCad,GCad,GCad,2016-02-04,GCad,773,GCad,2016-02-04,GCad,GCad,GCad,GCad,GCad,GCad,773,773,GCad,773,GCad,GCad,GCad,GCad,GCad,GCad,GCad,773,773,GCad
47,j,74,j,j,j,j,j,j,j,j,74,j,j,j,977.7373448029902,j,j,74,j,j,j,j,j,j,j,977.7373448029902,74,74,j,j,74,j,j,j,j,j,2020-04-01,j,74,j,2020-04-01,j,j,j,j,j,j,74,74,j,74,j,j,j,j,j,j,j,74,74,j
48,ss9,89,ss9,ss9,ss9,ss9,ss9,ss9,ss9,ss9,89,ss9,ss9,ss9,998.1112180323247,ss9,ss9,89,ss9,ss9,ss9,ss9,ss9,ss9,ss9,998.1112180323247,89,89,ss9,ss9,89,ss9,ss9,ss9,ss9,ss9,2019-04-21,ss9,89,ss9,2019-04-21,ss9,ss9,ss9,ss9,ss9,ss9,89,89,ss9,89,ss9,ss9,ss9,ss9,ss9,ss9,ss9,89,89,ss9
49,wVPpO6,376,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,376,wVPpO6,wVPpO6,wVPpO6,897.6625439861753,wVPpO6,wVPpO6,376,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,897.6625439861753,376,376,wVPpO6,wVPpO6,376,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,2022-06-18,wVPpO6,376,wVPpO6,2022-06-18,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,376,376,wVPpO6,376,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,wVPpO6,376,376,wVPpO6
50,4gZnkKQ,473,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,473,4gZnkKQ,4gZnkKQ,4gZnkKQ,772.7585133587775,4gZnkKQ,4gZnkKQ,473,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,772.7585133587775,473,473,4gZnkKQ,4gZnkKQ,473,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,2023-01-10,4gZnkKQ,473,4gZnkKQ,2023-01-10,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,473,473,4gZnkKQ,473,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,4gZnkKQ,473,473,4gZnkKQ
51,32N6refsU,87,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,87,32N6refsU,32N6refsU,32N6refsU,933.8153514792542,32N6refsU,32N6refsU,87,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,933.8153514792542,87,87,32N6refsU,32N6refsU,87,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,2019-07-16,32N6refsU,87,32N6refsU,2019-07-16,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,87,87,32N6refsU,87,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,32N6refsU,87,87,32N6refsU
52,LO,839,LO,LO,LO,LO,LO,LO,LO,LO,839,LO,LO,LO,447.2904179832663,LO,LO,839,LO,LO,LO,LO,LO,LO,LO,447.2904179832663,839,839,LO,LO,839,LO,LO,LO,LO,LO,2019-03-29,LO,839,LO,2019-03-29,LO,LO,LO,LO,LO,LO,839,839,LO,839,LO,LO,LO,LO,LO,LO,LO,839,839,LO
53,z4vmiiDaw,624,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,624,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,671.3619712440099,z4vmiiDaw,z4vmiiDaw,624,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,671.3619712440099,624,624,z4vmiiDaw,z4vmiiDaw,624,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,2018-10-16,z4vmiiDaw,624,z4vmiiDaw,2018-10-16,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,624,624,z4vmiiDaw,624,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,z4vmiiDaw,624,624,z4vmiiDaw
54,uS,132,uS,uS,uS,uS,uS,uS,uS,uS,132,uS,uS,uS,636.0589169697163,uS,uS,132,uS,uS,uS,uS,uS,uS,uS,636.0589169697163,132,132,uS,uS,132,uS,uS,uS,uS,uS,2016-03-06,uS,132,uS,2016-03-06,uS,uS,uS,uS,uS,uS,132,132,uS,132,uS,uS,uS,uS,uS,uS,uS,132,132,uS
55,BmHda,484,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,484,BmHda,BmHda,BmHda,111.62157674935813,BmHda,BmHda,484,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,111.62157674935813,484,484,BmHda,BmHda,484,BmHda,BmHda,BmHda,BmHda,BmHda,2018-05-19,BmHda,484,BmHda,2018-05-19,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,484,484,BmHda,484,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,BmHda,484,484,BmHda
56,mL,955,mL,mL,mL,mL,mL,mL,mL,mL,955,mL,mL,mL,536.6922148021835,mL,mL,955,mL,mL,mL,mL,mL,mL,mL,536.6922148021835,955,955,mL,mL,955,mL,mL,mL,mL,mL,2020-02-10,mL,955,mL,2020-02-10,mL,mL,mL,mL,mL,mL,955,955,mL,955,mL,mL,mL,mL,mL,mL,mL,955,955,mL
57,BO1BE,824,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,824,BO1BE,BO1BE,BO1BE,578.0309011608673,BO1BE,BO1BE,824,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,578.0309011608673,824,824,BO1BE,BO1BE,824,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,2022-08-25,BO1BE,824,BO1BE,2022-08-25,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,824,824,BO1BE,824,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,BO1BE,824,824,BO1BE
58,4u9MzzZdYo,790,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,790,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,759.9351278954479,4u9MzzZdYo,4u9MzzZdYo,790,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,759.9351278954479,790,790,4u9MzzZdYo,4u9MzzZdYo,790,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,2018-12-19,4u9MzzZdYo,790,4u9MzzZdYo,2018-12-19,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,790,790,4u9MzzZdYo,790,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,4u9MzzZdYo,790,790,4u9MzzZdYo
59,wxFwqn,519,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,519,wxFwqn,wxFwqn,wxFwqn,290.397487080797,wxFwqn,wxFwqn,519,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,290.397487080797,519,519,wxFwqn,wxFwqn,519,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,2017-06-10,wxFwqn,519,wxFwqn,2017-06-10,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,519,519,wxFwqn,519,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,wxFwqn,519,519,wxFwqn
60,hrTqZOe7,69,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,69,hrTqZOe7,hrTqZOe7,hrTqZOe7,939.1370743159563,hrTqZOe7,hrTqZOe7,69,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,939.1370743159563,69,69,hrTqZOe7,hrTqZOe7,69,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,2021-12-23,hrTqZOe7,69,hrTqZOe7,2021-12-23,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,69,69,hrTqZOe7,69,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,hrTqZOe7,69,69,hrTqZOe7
61,hv9K1n,948,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,948,hv9K1n,hv9K1n,hv9K1n,453.47260374313345,hv9K1n,hv9K1n,948,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,453.47260374313345,948,948,hv9K1n,hv9K1n,948,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,2022-02-08,hv9K1n,948,hv9K1n,2022-02-08,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,948,948,hv9K1n,948,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,hv9K1n,948,948,hv9K1n
62,rlGm,555,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,555,rlGm,rlGm,rlGm,709.445497092001,rlGm,rlGm,555,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,709.445497092001,555,555,rlGm,rlGm,555,rlGm,rlGm,rlGm,rlGm,rlGm,2021-10-23,rlGm,555,rlGm,2021-10-23,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,555,555,rlGm,555,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,rlGm,555,555,rlGm
63,VK9RW57u,336,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,336,VK9RW57u,VK9RW57u,VK9RW57u,32.00640437646107,VK9RW57u,VK9RW57u,336,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,32.00640437646107,336,336,VK9RW57u,VK9RW57u,336,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,2022-08-04,VK9RW57u,336,VK9RW57u,2022-08-04,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,336,336,VK9RW57u,336,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,VK9RW57u,336,336,VK9RW57u
64,rd8,575,rd8,rd8,rd8,rd8,rd8,rd8,rd8,rd8,575,rd8,rd8,rd8,273.57894479352217,rd8,rd8,575,rd8,rd8,rd8,rd8,rd8,rd8,rd8,273.57894479352217,575,575,rd8,rd8,575,rd8,rd8,rd8,rd8,rd8,2019-04-30,rd8,575,rd8,2019-04-30,rd8,rd8,rd8,rd8,rd8,rd8,575,575,rd8,575,rd8,rd8,rd8,rd8,rd8,rd8,rd8,575,575,rd8
65,nQ3l5Y9BF,552,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,552,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,209.75846005431276,nQ3l5Y9BF,nQ3l5Y9BF,552,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,209.75846005431276,552,552,nQ3l5Y9BF,nQ3l5Y9BF,552,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,2017-04-23,nQ3l5Y9BF,552,nQ3l5Y9BF,2017-04-23,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,552,552,nQ3l5Y9BF,552,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,nQ3l5Y9BF,552,552,nQ3l5Y9BF
66,PQ,826,PQ,PQ,PQ,PQ,PQ,PQ,PQ,PQ,826,PQ,PQ,PQ,738.7770769489355,PQ,PQ,826,PQ,PQ,PQ,PQ,PQ,PQ,PQ,738.7770769489355,826,826,PQ,PQ,826,PQ,PQ,PQ,PQ,PQ,2020-11-26,PQ,826,PQ,2020-11-26,PQ,PQ,PQ,PQ,PQ,PQ,826,826,PQ,826,PQ,PQ,PQ,PQ,PQ,PQ,PQ,826,826,PQ
67,8z3JDesoi,480,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,480,8z3JDesoi,8z3JDesoi,8z3JDesoi,122.98687977113343,8z3JDesoi,8z3JDesoi,480,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,122.98687977113343,480,480,8z3JDesoi,8z3JDesoi,480,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,2021-04-07,8z3JDesoi,480,8z3JDesoi,2021-04-07,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,480,480,8z3JDesoi,480,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,8z3JDesoi,480,480,8z3JDesoi
68,2,754,2,2,2,2,2,2,2,2,754,2,2,2,426.9967192668742,2,2,754,2,2,2,2,2,2,2,426.9967192668742,754,754,2,2,754,2,2,2,2,2,2018-03-12,2,754,2,2018-03-12,2,2,2,2,2,2,754,754,2,754,2,2,2,2,2,2,2,754,754,2
69,8EO,47,8EO,8EO,8EO,8EO,8EO,8EO,8EO,8EO,47,8EO,8EO,8EO,59.40211294182707,8EO,8EO,47,8EO,8EO,8EO,8EO,8EO,8EO,8EO,59.40211294182707,47,47,8EO,8EO,47,8EO,8EO,8EO,8EO,8EO,2018-02-18,8EO,47,8EO,2018-02-18,8EO,8EO,8EO,8EO,8EO,8EO,47,47,8EO,47,8EO,8EO,8EO,8EO,8EO,8EO,8EO,47,47,8EO
70,5LO,157,5LO,5LO,5LO,5LO,5LO,5LO,5LO,5LO,157,5LO,5LO,5LO,601.2446511193101,5LO,5LO,157,5LO,5LO,5LO,5LO,5LO,5LO,5LO,601.2446511193101,157,157,5LO,5LO,157,5LO,5LO,5LO,5LO,5LO,2022-11-17,5LO,157,5LO,2022-11-17,5LO,5LO,5LO,5LO,5LO,5LO,157,157,5LO,157,5LO,5LO,5LO,5LO,5LO,5LO,5LO,157,157,5LO
71,U,96,U,U,U,U,U,U,U,U,96,U,U,U,885.2949240671419,U,U,96,U,U,U,U,U,U,U,885.2949240671419,96,96,U,U,96,U,U,U,U,U,2016-05-17,U,96,U,2016-05-17,U,U,U,U,U,U,96,96,U,96,U,U,U,U,U,U,U,96,96,U
72,10jKrfsP,738,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,738,10jKrfsP,10jKrfsP,10jKrfsP,171.2702003715181,10jKrfsP,10jKrfsP,738,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,171.2702003715181,738,738,10jKrfsP,10jKrfsP,738,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,2019-08-17,10jKrfsP,738,10jKrfsP,2019-08-17,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,738,738,10jKrfsP,738,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,10jKrfsP,738,738,10jKrfsP
73,24xx,967,24xx,24xx,24xx,24xx,24xx,24xx,24xx,24xx,967,24xx,24xx,24xx,936.9755437147278,24xx,24xx,967,24xx,24xx,24xx,24xx,24xx,24xx,24xx,936.9755437147278,967,967,24xx,24xx,967,24xx,24xx,24xx,24xx,24xx,2019-10-29,24xx,967,24xx,2019-10-29,24xx,24xx,24xx,24xx,24xx,24xx,967,967,24xx,967,24xx,24xx,24xx,24xx,24xx,24xx,24xx,967,967,24xx
74,iJLABZClr3,801,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,801,iJLABZClr3,iJLABZClr3,iJLABZClr3,647.1424570946275,iJLABZClr3,iJLABZClr3,801,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,647.1424570946275,801,801,iJLABZClr3,iJLABZClr3,801,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,2022-08-02,iJLABZClr3,801,iJLABZClr3,2022-08-02,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,801,801,iJLABZClr3,801,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,iJLABZClr3,801,801,iJLABZClr3
75,GVrmNj,808,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,808,GVrmNj,GVrmNj,GVrmNj,115.40125423144542,GVrmNj,GVrmNj,808,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,115.40125423144542,808,808,GVrmNj,GVrmNj,808,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,2022-03-19,GVrmNj,808,GVrmNj,2022-03-19,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,808,808,GVrmNj,808,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,GVrmNj,808,808,GVrmNj
76,TSZTmhtU,49,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,49,TSZTmhtU,TSZTmhtU,TSZTmhtU,63.42683650094661,TSZTmhtU,TSZTmhtU,49,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,63.42683650094661,49,49,TSZTmhtU,TSZTmhtU,49,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,2019-03-19,TSZTmhtU,49,TSZTmhtU,2019-03-19,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,49,49,TSZTmhtU,49,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,TSZTmhtU,49,49,TSZTmhtU
77,8iqO,806,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,806,8iqO,8iqO,8iqO,125.10890128680107,8iqO,8iqO,806,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,125.10890128680107,806,806,8iqO,8iqO,806,8iqO,8iqO,8iqO,8iqO,8iqO,2017-11-24,8iqO,806,8iqO,2017-11-24,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,806,806,8iqO,806,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,8iqO,806,806,8iqO
78,PD,832,PD,PD,PD,PD,PD,PD,PD,PD,832,PD,PD,PD,984.2031812184043,PD,PD,832,PD,PD,PD,PD,PD,PD,PD,984.2031812184043,832,832,PD,PD,832,PD,PD,PD,PD,PD,2023-04-30,PD,832,PD,2023-04-30,PD,PD,PD,PD,PD,PD,832,832,PD,832,PD,PD,PD,PD,PD,PD,PD,832,832,PD
79,FWjvgKpj,778,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,778,FWjvgKpj,FWjvgKpj,FWjvgKpj,47.15520214862223,FWjvgKpj,FWjvgKpj,778,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,47.15520214862223,778,778,FWjvgKpj,FWjvgKpj,778,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,2020-03-13,FWjvgKpj,778,FWjvgKpj,2020-03-13,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,778,778,FWjvgKpj,778,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,FWjvgKpj,778,778,FWjvgKpj
